species,common_name,habitat,habitat_specialization,distribution,is_endemic,diet,trophic_level,size_cm,weight_kg,reproduction_rate,conservation_status,population_trend,threats,key_facts
Rhinolophus mabuensis,Mount Mabu horseshoe bat,"['montane forests', 'submontane forests']",specialist,['Mozambique'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['loss of forest habitat', 'degradation of forest habitat']",Described as a new species in 2012; only documented at two sites in northern Mozambique (Mount Mabu and Mount Inago); habitat loss and degradation described as alarming by IUCN.
Pseudoromicia roseveari,Rosevear's serotine,"['primary rainforest', 'small streams']",specialist,"['Guinea', 'Liberia']",False,unknown,unknown,8.9,0.00615,low,endangered,unknown,"['deforestation', 'slash-and-burn agriculture', 'logging', 'mining']",Only six specimens have ever been documented. It is the largest pipistrelloid bat in West Africa. Pregnant female observed in March. Found at 450-550 m elevation in primary rainforest near small streams.
Antechinus arktos,black-tailed antechinus,"['high-altitude wet areas', 'Springbrook National Park', 'Tweed Volcano Caldera']",specialist,"['northern New South Wales', 'south-eastern Queensland', 'Australia']",True,carnivorous,secondary consumer,92.58718085106382,1371.0242088757395,high,endangered,decreasing,['climate change'],"The species is a small carnivorous marsupial restricted to high-altitude wet areas in northeastern New South Wales and southeastern Queensland. It has a very intense and short mating season where males die shortly after due to extreme stress and immune system failure. The species is endangered and its range appears to be contracting, likely due to climate change."
Nasuella meridensis,eastern mountain coati,"['cloud forest', 'páramo']",specialist,"['western Venezuela', 'Andes']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,unknown,[],"Found at elevations of 2,000–4,000 m in the Andes of western Venezuela. Previously considered a subspecies of Nasuella olivacea until 2009. Smaller size, shorter tail, smaller teeth, paler olive-brown pelage with a dark mid-dorsal stripe. Genetic analysis suggests synonymy with N. olivacea. Physical differences attributed to allopatric speciation due to geographical gap at Colombian-Venezuelan border."
Cuon alpinus,dhole,"['forested areas', 'alpine zones', 'plains regions', 'tropical forests', 'montane tropical forests']",specialist,"['South Asia', 'East Asia', 'Southeast Asia', 'India', 'Myanmar', 'Indochina', 'Indonesia', 'China', 'Russia (possibly extinct)', 'Bhutan', 'Bangladesh', 'Thailand', 'Vietnam (possibly extinct)', 'Malaysia Peninsula', 'Sumatra', 'Java', 'Mongolia', 'Kyrgyzstan (possible presence)', 'North Korea (uncertain)', 'Pakistan (uncertain)']",False,"carnivore (large and medium-sized ungulates, occasionally insects, lizards, fruit and vegetable matter)",carnivore,88.0,15.1,medium,endangered,decreasing,"['habitat loss', 'loss of prey', 'competition with other species', 'persecution due to livestock predation', 'disease transfer from domestic dogs', 'inbreeding', 'fragmentation and isolation', 'nonselective hunting techniques (snaring)', 'poisoning', 'snaring', 'shooting', 'clubbing at den sites']","The dhole is a highly social, diurnal pack hunter native to Asia, with populations estimated under 2,500 mature individuals. It has a specialized dentition adapted for shearing meat and lives in clans with multiple breeding females. The species faces threats from habitat loss, prey depletion, competition, persecution, and disease. It is protected under various national laws and conservation efforts include breeding centers and habitat protection."
Catagonus wagneri,Chacoan peccary,"['hot dry areas', 'Gran Chaco', 'thorny scrub vegetation', 'low-lying succulents', 'thorny bushes']",specialist,"['Paraguay', 'Bolivia', 'Argentina']",True,"herbivore feeding on cacti (cleistocactus baumannii, opuntia discolor), bromeliad roots, acacia pods, fallen cactus flowers, and minerals from salt licks",primary consumer,92.58718085106382,1371.0242088757395,medium,endangered,decreasing,"['habitat loss', 'habitat fragmentation', 'hunting', 'disease', 'human activity']","Only extant species of genus Catagonus; rediscovered in 1971 after being thought extinct; adapted to dry, dusty conditions with well-developed sinuses and small feet; travels in herds up to 20; specialized diet on tough cacti and uses salt licks for minerals; population declining due to habitat transformation and hunting; captive populations exist in zoos and preserves."
Ctenomys australis,southern tuco-tuco,"['sand dunes', 'coastal grassland', 'areas with scarce vegetation and deep soil']",specialist,"['Buenos Aires Province, Argentina']",True,"herbivorous, feeding on grasses and forbs",primary consumer,20.0,0.425,medium,unknown,decreasing,"['habitat destruction due to urban development', 'forestry', 'grassland advancement']","Large rodent endemic to Argentina, lives in sand dunes with large burrow systems, highly territorial and solitary, gestation period of 100 days with up to two litters per year, litter size 2-6 pups, threatened by habitat destruction."
Rucervus schomburgki,Schomburgk's deer,"['swampy plains', 'long grass', 'cane', 'shrubs', 'Chao Phraya River valley']",specialist,['central Thailand'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['habitat loss due to rice production', 'intensive hunting', 'overhunting']","Schomburgk's deer was endemic to central Thailand, inhabiting swampy plains with long grass and shrubs. It lived in herds with a single adult male and several females. The species went extinct due to habitat loss from rice production and overhunting, with the last known individual killed in 1938."
Cebus malitiosus,Santa Marta white-fronted capuchin,['forests'],specialist,['Colombia'],True,unknown,unknown,45.7,4.0600000000000005,unknown,unknown,unknown,[],Restricted to forests near the northwest base of the Sierra Nevada de Santa Marta in northern Colombia. Males have a head and body length of about 45.7 cm and a tail length of about 43.3 cm. Elevated to species status in 2013.
Cebus versicolor,varied white-fronted capuchin,"['lowland moist forest', 'palm swamps']",specialist,"['Río Magdalena Valley, northern Colombia']",True,unknown,unknown,47.75,6.778999999999999,unknown,unknown,unknown,[],"Species of gracile capuchin monkey from Colombia, separated as a distinct species in 2012, inhabits lowland moist forest and palm swamps, has reddish fur with contrasting lighter areas and a dark brown crown."
Dusicyon australis,Falkland Islands wolf,"['Falkland Islands', 'coastal areas', 'seashore', 'open land']",specialist,['Falkland Islands'],True,"seashore scavenging, ground-nesting birds (geese, penguins), seal pups, insects",carnivore,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['hunting for fur', 'poisoning by settlers', 'perceived threat to sheep']","Only native land mammal of the Falkland Islands, extinct since 1876. Closest living relative is the maned wolf. Likely subsisted on coastal scavenging and birds. No fear of humans, easily hunted. Possibly introduced or naturally colonized. Genetic divergence from mainland ancestor about 16,000 years ago."
Dusicyon avus,Dusicyon avus,"['Pampas', 'Patagonia', 'South-central South America', 'Southern South America']",generalist,"['Argentina', 'Brazil', 'Chile', 'Uruguay']",False,"carnivorous, mostly small mammals and scavenging large carcasses",carnivore,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['climatic change', 'anthropogenic factors', 'low genetic diversity', 'possible genetic bottleneck']","Extinct medium to large canid native to South America, closely related to Falkland Islands wolf. Survived until possibly 400 years ago. Wide range but low genetic diversity. Diet more carnivorous than extant foxes. Used in human rituals and possibly kept as pets. Extinction cause likely combination of climatic and anthropogenic factors."
Rhinolophus willardi,Willard's horseshoe bat,"['montane forest', 'caves', 'mines']",specialist,['Democratic Republic of the Congo'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,unknown,"['regional conflict', 'unregulated forest clearing', 'habitat degradation', 'roost disturbance', 'hunting of roosting bats']","Newly described species endemic to a small area in the Democratic Republic of the Congo; recorded only from two sites in montane forest at high elevation; probably roosts in caves and mines; very poorly documented with no population information; threatened by habitat loss, disturbance, and hunting."
Rhinolophus kahuzi,Kahuzi horseshoe bat,[],unknown,['eastern Democratic Republic of the Congo'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"Species of bat in the family Rhinolophidae, named after Mount Kahuzi."
Desmalopex microleucopterus,small white-winged flying fox,['forest'],specialist,"['Mindoro Island, Philippines']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],Only 13 specimens have ever been found; one in 1998 and the others in 2006.
Murina balaensis,Bala tube-nosed bat,['moist evergreen lowland rainforest'],specialist,"['Narathiwat Province, Thailand']",True,insectivorous,secondary consumer,3.0,0.0035,unknown,critically endangered,decreasing,"['habitat loss', 'deforestation', 'agriculture expansion']","Small bat weighing 3.5-4 g, forearm length 28-30.4 mm, found only in Bala Forest of Hala-Bala Wildlife Sanctuary, Thailand. Forages 2-3 m above forest floor. Critically endangered due to very small area of occupancy (<4 km2) and habitat decline."
Murina harpioloides,Da Lat tube-nosed bat,['Da Lat plateau'],specialist,['Vietnam'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],Species of vesper bats found on the Da Lat plateau in Vietnam.
Hypsugo lanzai,Socotran pipistrelle,['sparse dry xeric shrubland'],specialist,"['Socotra Island, Yemen']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['climate change', 'more frequent major tropical cyclones', 'increasing aridification', 'unplanned development']",Largest member of the arabicus-group of Hypsugo; endemic to Socotra Island; threatened by climate change and habitat disturbance.
Pteropus niger,Mauritian flying fox,"['forests within national parks of Black River Gorges', 'Combo Forest', 'Bel Ombre forest', 'fruit plantations']",specialist,"['Mauritius', 'La Réunion (possibly recolonized)']",True,fruits and nectar,primary consumer,80.0,0.4,unknown,endangered,decreasing,"['deforestation', 'hunting', 'culling by government', 'cyclones', 'conflicts with farmers']",Largest endemic mammal on Mauritius with 80 cm wingspan; important pollinator and seed disperser; population declined due to hunting and habitat loss; government culling controversial and may threaten species survival.
Equus grevyi,Grévy's zebra,"['semi-arid savanna', 'Acacia-Commiphora bushlands', 'barren plains']",specialist,"['Kenya', 'Ethiopia']",False,"herbivore (grasses, legumes, browse such as acacia)",primary consumer,250.0,400.0,low,endangered,stable,"['habitat loss', 'competition with livestock', 'anthrax outbreaks', 'invasive species (mesquite plant)']","Largest wild equid, lives in semi-arid savanna, can survive up to five days without water, population declined from 15,000 in 1970s to about 2,250 in 2020, main threats include habitat loss and competition with livestock, protected in Kenya and Ethiopia, population trend stable as of 2016."
Hippopotamus madagascariensis,Madagascar dwarf hippopotamus,['forested highlands of Madagascar'],specialist,['Madagascar'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,['overhunting by humans'],"Extinct species of hippopotamus endemic to Madagascar, last known to survive after 1500. Fossils show cursorial adaptations and less aquatic lifestyle. Coexisted with humans for about 2,000 years. Extinction likely due to overhunting."
Hippopotamus lemerlei,Lemerle's dwarf hippopotamus,"['rivers', 'lakes', 'riparian environments']",specialist,['Madagascar'],True,"grazing, less grass-specialised than mainland african hippopotamus",herbivore,200.0,772.0,unknown,extinct,decreasing,['over-hunting by humans'],"Extinct Malagasy hippopotamus species, smaller than common hippopotamus, lived in riparian habitats in western Madagascar, survived until humans arrived, evidence of butchery on bones, extinction likely due to human hunting."
Gerbillus hesperinus,western gerbil,[],unknown,['northern Morocco'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,unknown,[],The western gerbil is distributed mainly in northern Morocco and is listed as Endangered by the IUCN.
Spalax zemni,Podolsk blind mole-rat,"['undeveloped steppe', 'side roads', 'forest belts', 'agricultural fields', 'former military firing ranges']",generalist,"['western Ukraine', 'central Ukraine']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['habitat loss', 'cultivation', 'development']","Species has a wide but severely fragmented range in Ukraine, primarily inhabits steppe and other disturbed habitats, population declining due to habitat shrinkage, considered rare since the 19th century."
Cercocebus lunulatus,white-naped mangabey,['forest'],specialist,"['Burkina Faso', 'Ghana', 'Ivory Coast']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['deforestation', 'hunting']",The species was once considered a subspecies of the sooty mangabey but is now a separate species.
Erythrocebus baumstarki,southern patas monkey,"['semi-arid acacia woodland', 'whistling thorn (Vachellia drepanolobium) woodland']",specialist,"['Tanzania', 'Kenya']",True,primarily gum from whistling thorn and ants of the genus crematogaster,herbivore/insectivore,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['habitat degradation due to agriculture and livestock rearing', 'competition with humans and livestock for water', 'persecution by herders and domestic dogs', 'snaring from illegal poaching', 'decline in genetic diversity', 'climate change affecting water availability and habitat altitude']","Possibly the most endangered primate in Africa, restricted to protected areas in western Serengeti, with only 100 to 200 individuals remaining. Highly dependent on whistling thorn woodlands and permanent water sources."
Cercopithecus diana,Diana monkey,"['primary forests', 'high canopy forests']",specialist,"['Sierra Leone', 'Liberia', ""Côte d'Ivoire""]",False,"fruits, blossoms, leaves, occasional insects and invertebrates",herbivore/omnivore,40.0,4.0,high,endangered,decreasing,"['habitat destruction', 'hunting for bushmeat']","Diana monkey is a specialist of primary forests in West Africa, living in groups with a single male and multiple females. It has a lifespan of up to 20 years, reproduces annually under good conditions, and is endangered mainly due to habitat loss and hunting."
Cercopithecus roloway,Roloway monkey,"['old-growth forests', 'primary forests', 'gallery forests', 'moist low-lying regions', 'canopy']",specialist,"['eastern Ivory Coast', 'Ghana', 'possibly Burkina Faso', 'possibly Togo']",True,"omnivorous (fruits, flowers, leaves, insects, larvae, eggs, seeds)",omnivore,40.0,5.0,low,critically endangered,decreasing,"['habitat loss', 'hunting', 'bushmeat trade', 'human expansion', 'habitat fragmentation', 'predation by leopards', 'predation by large prey birds', 'predation by chimpanzees']",Largest of African Cercopithecus genus; highly arboreal; requires primary old-growth forests; population severely declining due to habitat loss and hunting; difficult to study due to low population and elusive behavior; captive breeding programs exist but face challenges.
Piliocolobus preussi,Preuss's red colobus,"['Cross-Sanaga Rivers ecoregion', 'Korup National Park, Southwest Province, Cameroon', 'Cross River National Park - Oban Division, Nigeria', 'Nkwende Hills', 'Nta Ali Forest Reserve', 'Ebo forest, Littoral Province, Cameroon']",specialist,"['Cameroon', 'Nigeria']",True,primarily leaves,herbivore,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['hunting pressure', 'habitat destruction']","Preuss's red colobus is a critically endangered primate endemic to the Cross-Sanaga Rivers ecoregion, primarily leaf-eating, with a distinctive black head and bright red tail, limbs and cheeks. Large portions of remaining groups are within protected areas."
Piliocolobus pennantii,Pennant's red colobus,"['rainforest', 'marshy forest', 'primary forest', 'secondary forest']",specialist,"['Bioko Island (Equatorial Guinea)', 'Niger Delta (Nigeria)', 'Republic of Congo']",False,"mainly fresh leaves supplemented by flowers, fruit, and seeds",herbivore,58.0,8.5,low,endangered,decreasing,"['habitat loss', 'hunting for bushmeat', 'logging']","Arboreal primate with no opposable thumbs, lives in troops of 12-80 individuals, gestation about 5 months, population declining due to hunting and habitat degradation."
Piliocolobus epieni,Niger Delta red colobus,['marsh forest'],specialist,['western Niger Delta'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['hunting', 'habitat loss', 'deforestation', 'logging', 'bushmeat hunting']","The Niger Delta red colobus is a critically endangered primate endemic to the western Niger Delta, restricted to marsh forest habitat. It has experienced a population decline of over 80% in the past 30 years due to hunting and habitat loss. It is sensitive to hunting and habitat disturbance and was included in The World's 25 Most Endangered Primates list in 2010."
Piliocolobus foai,Foa's red colobus,"['arboreal', 'Itombwe Mountains forest']",specialist,['Democratic Republic of the Congo'],True,"leaves, buds, fruit, flowers",herbivore,59.5,11.0,unknown,unknown,decreasing,"['deforestation', 'hunting for bushmeat']","Foa's red colobus is arboreal and diurnal, with long red and black fur, smaller teeth than most red colobus species, and is known only from two widely separated regions in the Itombwe Mountains. It has experienced range contraction due to deforestation."
Eudiscoderma thongareeae,Thongaree's disc-nosed bat,"['Bala Forest, Narathiwat Province, Thailand']",specialist,['Thailand'],True,insectivore (beetles),secondary consumer,92.58718085106382,1371.0242088757395,unknown,critically endangered,unknown,[],Only member of the genus Eudiscoderma; known area of occupancy is 0.03–1 km2; only three individuals have ever been observed.
Dyacopterus rickarti,Rickart's dyak fruit bat,[],unknown,['Philippines'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"Species of megabat in the family Pteropodidae found on Luzon and Mindanao islands, Philippines."
Lontra provocax,southern river otter,"['freshwater lakes', 'rivers', 'marine', 'terrestrial']",specialist,"['Chile', 'Argentina', 'Patagonia']",False,"piscivorous, including fish, crustaceans, mollusks, occasionally birds and eggs, reptiles and amphibians",carnivore,70.0,7.5,low,endangered,decreasing,"['hunting for pelts', 'habitat destruction due to dam and road construction', 'stream canalization and drainage for agriculture', 'lack of enforcement of hunting laws', 'competition with invasive American mink', 'decrease in prey availability', 'invasive aquatic species']","Medium-sized otter found in Patagonia, inhabits freshwater and marine environments with dense riparian vegetation. Populations are isolated and declining due to hunting, habitat loss, and competition with invasive species. Conservation efforts include protected areas and anti-poaching laws."
Microgale jenkinsae,Jenkins's shrew tenrec,"['subtropical dry forests', 'tropical dry forests', 'shrubland', 'forest habitats']",specialist,"['Madagascar', 'Mikea Forest, Southwest Madagascar']",True,"faunivorous (terrestrial invertebrates, small vertebrates, carrion)",secondary consumer,14.3,0.1202,unknown,threatened,decreasing,"['habitat loss', 'intentional burning for agriculture', 'unintentional wildfires', 'deforestation for commodity lumber', 'overexploitation of trees']","Extremely small tenrec endemic to the Mikea Forest in Madagascar, inhabiting tropical dry forests with a semi-arid climate. Threatened primarily by habitat loss due to wildfires, burning, and deforestation. Not currently in a protected area but the habitat is in process of becoming protected. Diet is faunivorous, feeding on a variety of terrestrial invertebrates and small vertebrates."
Equus ferus,Wild horse,"['temperate forest', 'steppe', 'tundra', 'open environments']",generalist,"['northeast China', 'Mongolia', 'Kazakhstan', 'Spain']",False,grazer with seasonal browsing,herbivore,105.0,250.0,medium,endangered,increasing,"['predation by wolves', 'human pressure', 'habitat loss']","Equus ferus includes the endangered Przewalski's horse subspecies, which was extinct in the wild but successfully reintroduced. Wild horses are generalist grazers inhabiting diverse environments from temperate forests to steppes and tundra. They live in social herds with a dominant male and have a medium reproduction rate. Przewalski's horse differs genetically from domesticated horses and has 66 chromosomes. The population is currently increasing due to conservation efforts."
Dama mesopotamica,Persian fallow deer,"['woodlands of tamarisk', 'oak woodlands', 'pistachio woodlands']",specialist,"['Iran', 'Israel']",False,"grazing herbivore, grass (60%), leaves, nuts",herbivore,130.0,105.0,medium,endangered,increasing,"['human hunting', 'interspecific competition with domestic livestock', 'human encroachment', 'habitat destruction for agriculture', 'collisions with trains or cars', 'predation by grey wolf', 'feral dogs']","Once widespread in West Asia, now only found wild in Iran and Israel. Population rebounded from near extinction in 1960s to over 1,100 individuals by 2015 due to captive breeding and reintroduction programs. Prefers woodland habitats and avoids roads. Genetic diversity is low but no major inbreeding problems observed. Main mortality cause is vehicle collisions. Conservation efforts ongoing with stable or increasing populations."
Pan paniscus,bonobo,"['primary forest', 'secondary forest', 'seasonally inundated swamp forest', 'humid forests of the Democratic Republic of Congo']",specialist,['Democratic Republic of the Congo'],True,"omnivorous frugivore (57% fruit, supplemented with leaves, honey, eggs, meat from small vertebrates and invertebrates)",omnivore,119.0,45.0,low,endangered,decreasing,"['habitat destruction', 'human population growth and movement', 'civil unrest and political infighting', 'commercial poaching', 'bushmeat hunting']","Bonobos are a matriarchal, highly social great ape species endemic to the Democratic Republic of Congo. They have a specialized habitat in humid forests and are omnivorous frugivores. They exhibit complex social and sexual behaviors, have a lifespan of about 40 years in captivity, and face significant threats from habitat loss and poaching. Population estimates range from 29,500 to 50,000 individuals, with a decreasing trend. Conservation efforts include community-based reserves and anti-poaching measures."
Moschus berezovskii,dwarf musk deer,['forest'],specialist,"['southern China', 'central China', 'northernmost Vietnam']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,unknown,[],The dwarf musk deer is native to southern and central China and northernmost Vietnam. It was listed as endangered in China in 1976. It harbors ten species of Eimeria parasites specific to this host.
Lycalopex fulvipes,Darwin's fox,"['temperate rainforest', 'Araucaria–Nothofagus forest', 'evergreen forest', 'old-growth forest', 'secondary evergreen forest', 'unmanaged eucalyptus plantations', 'second-growth forest', 'shrubland', 'coastal dune systems']",specialist,"['Chile', 'Chiloé Island', 'Nahuelbuta National Park', 'Cordillera de Oncol', 'Cordillera Pelada']",True,"opportunistic omnivore; insects, small mammals, birds, reptiles, fruits, seeds",omnivore,48.0,3.0,unknown,endangered,decreasing,"['domestic and feral dogs (attacks and disease transmission)', 'human disturbance', 'habitat loss from agriculture and forestry', 'road construction and fragmentation', 'disease spillover (canine distemper, rabies, Mycoplasma, Toxoplasma gondii, Leptospira)', 'human-caused mortality (killing, trapping)', 'potential invasive species introduction']","Small, dark canid endemic to Chile's temperate rainforests; population under 1,000 mature individuals mostly on Chiloé Island; threatened by dogs, habitat loss, and disease; protected in several national and private reserves; conservation includes vaccination of domestic dogs and habitat protection; vulnerable due to limited genetic diversity and pathogen exposure."
Mesocricetus auratus,Golden hamster,"['arid region', 'burrows']",specialist,"['northern Syria', 'southern Turkey']",True,omnivore,unknown,18.0,0.1,high,endangered,decreasing,"['habitat loss due to agriculture', 'deliberate elimination by humans']","Golden hamsters are solitary, territorial rodents native to arid regions of northern Syria and southern Turkey. They have a high reproduction rate with short gestation periods and large litters. Wild populations are endangered due to habitat loss and human actions, but captive breeding is well established. They are used as pets and research animals."
Ailurus fulgens,red panda,"['coniferous forests', 'temperate broadleaf forests', 'mixed forests', 'steep slopes with dense bamboo cover', 'areas close to water sources']",specialist,"['Nepal', 'India (Sikkim, West Bengal, Arunachal Pradesh)', 'Bhutan', 'southern Tibet', 'northern Myanmar', 'China (Sichuan, Yunnan)']",False,"primarily bamboo shoots and leaves, also fruits, blossoms, acorns, eggs, birds, small mammals",herbivore,57.0,9.0,medium,endangered,decreasing,"['habitat destruction', 'habitat fragmentation', 'deforestation', 'poaching', 'livestock trampling bamboo', 'illegal wildlife trade', 'human disturbance', 'road barriers']","The red panda is a small arboreal mammal native to the eastern Himalayas and southwestern China, adapted for climbing with flexible joints and semi-retractile claws. It has a specialized bamboo diet despite a carnivore-like digestive system. It is solitary, territorial, and primarily nocturnal and crepuscular. The species is threatened by habitat loss and poaching and is listed as Endangered with an estimated population of 10,000 individuals. Conservation efforts include protected areas, community-based programs, and captive breeding worldwide."
Cricetus cricetus,European hamster,"['grassland', 'farmland', 'meadows', 'gardens', 'hedges']",generalist,"['Belgium', 'Alsace', 'Russia', 'Bulgaria', 'Austria']",False,"omnivore (seeds, legumes, root vegetables, grasses, insects)",primary consumer,27.5,0.34,high,critically endangered,decreasing,"['intensive agriculture', 'habitat destruction', 'persecution by farmers', 'climate change', 'pollution', 'light pollution', 'road building', 'historical fur trapping']",Largest known species of hamster; nocturnal/crepuscular; complex burrow system; hibernates October to March; breeds April to August with 3-15 young per litter; breeds readily in captivity; population declining drastically due to multiple threats.
Urocitellus brunneus,Northern Idaho ground squirrel,"['dry rocky meadows', 'ponderosa pine forests', 'Douglas-fir forests', 'meadow terrain']",specialist,"['Adams County, Idaho, USA', 'Valley County, Idaho, USA']",True,"forbs, grasses, shrubs, trees, rushes, sedges",herbivore,23.3,0.205,low,threatened,increasing,"['habitat loss', 'habitat fragmentation', 'fire suppression', 'logging', 'habitat conversion', 'grazing impacts', 'poisoning', 'purposeful killing']","The northern Idaho ground squirrel is a sexually dimorphic species with males larger than females, weighing 120-290 grams and about 23.3 cm in length. It hibernates for 8 months and inhabits dry meadows and forest edges in western-central Idaho. The species has a low reproductive rate with one litter per year of about 4-6 pups. It is threatened primarily due to habitat loss and fragmentation, with a current population of approximately 2000 individuals and ongoing conservation efforts including habitat restoration and captive breeding."
Crocidura mdumai,Mduma's shrew,"['montane forests', 'drier forests']",specialist,['Tanzania'],True,unknown,unknown,8.1,0.0182,unknown,endangered,decreasing,"['habitat loss', 'deforestation', 'smallholder farming']","Endemic to Tanzania, restricted to forests of the Ngorongoro Crater; endangered due to habitat loss from deforestation caused by smallholder farming."
Catopuma badia,Bay cat,"['dense tropical forests', 'swamp forests', 'lowland dipterocarp forest', 'hill forests', 'rocky limestone outcrops', 'logged forest', 'riverine and montane forests', 'peat swamp forest', 'heath forest', 'mangroves']",specialist,"['Borneo', 'Sarawak', 'Sabah', 'West Kalimantan', 'East Kalimantan', 'Central Kalimantan', 'North Kalimantan']",True,unknown,unknown,58.25,3.5,unknown,endangered,decreasing,"['habitat destruction', 'deforestation', 'commercial logging', 'conversion to oil palm plantations', 'poaching', 'illegal wildlife trade']","The bay cat is a small, rare wild cat endemic to Borneo, with fewer than 2,500 mature individuals estimated. It inhabits dense tropical forests and is closely associated with riverine and mangrove habitats. It is forest-dependent and threatened primarily by habitat loss and poaching. It exhibits diurnal activity patterns and is one of the least studied wild cats."
Biswamoyopterus biswasi,Namdapha flying squirrel,"['tall Mesua ferrea jungles', 'subtropical evergreen forests', 'hill slopes in the drainage basin area of Dihing River', 'western slope of Patkai range']",specialist,"['Arunachal Pradesh, India']",True,folivorous (young leaves and shoots),herbivore,40.5,2.2939999999999996,unknown,critically endangered,unknown,"['poaching for food', 'habitat destruction']",Known from a single specimen collected in 1981; canopy-dependent folivore requiring intact old-growth trees and continuous canopy cover; range may be restricted to a single valley; among the 25 most wanted lost species targeted by Re:wild's Search for Lost Species initiative.
Crocidura phaeura,Guramba shrew,"['subtropical dry forests', 'tropical dry forests']",specialist,['Ethiopia'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,data deficient,unknown,[],"The Guramba shrew is a mammal in the family Soricidae, endemic to Ethiopia, inhabiting subtropical or tropical dry forests."
Crocidura thomensis,São Tomé shrew,['tropical montane moist forest'],specialist,"['São Tomé Island, São Tomé and Príncipe']",True,unknown,unknown,7.6,0.016600000000000004,unknown,endangered,decreasing,"['habitat loss', 'deforestation', 'invasive species', 'competition for food']",The São Tomé shrew is a small white-toothed shrew endemic to São Tomé Island. It is critically endangered due to habitat loss from deforestation and competition from invasive species. Conservation efforts have been limited by lack of information. The species was reassessed as endangered in 2016 after new site records.
Crocidura andamanensis,Andaman shrew,"['tropical moist deciduous forest', 'tropical evergreen forest', 'leaf litter', 'rock crevices']",specialist,"['South Andaman Island', 'India']",True,insectivorous,primary consumer,6.5,0.0078,unknown,critically endangered,decreasing,"['habitat loss due to selective logging', 'anthropogenic activities', 'natural disasters (tsunamis, drastic weather changes)']","The Andaman shrew is a small, insectivorous mammal endemic to South Andaman Island, inhabiting tropical moist deciduous and evergreen forests. It is critically endangered due to its extremely limited range, small population size, and ongoing threats including habitat loss and natural disasters."
Crocidura bottegoides,Bale shrew,"['subtropical or tropical moist montane forests', 'high-elevation grassland']",specialist,"['Ethiopia', 'Bale Mountains', 'Ethiopian Highlands']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,data from iucn red list 2016,unknown,[],Endemic to the Bale Mountains of the Ethiopian Highlands; inhabits subtropical or tropical moist montane forests and high-elevation grassland.
Dasymys montanus,montane shaggy rat,"['subtropical or tropical moist montane forest', 'subtropical or tropical high-altitude grassland', 'swampland']",specialist,"['Uganda', 'Democratic Republic of the Congo']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,['habitat loss'],"Moderate size compared to others in genus Dasymys, dark grey long fine hair, fairly short tail (~70% of body size)."
Grammomys gigas,giant thicket rat,"['montane moist forest', 'high-elevation scrub']",specialist,['Kenya'],True,"fruits, seeds, other plant matter, occasionally arthropods",primary consumer,13.2,0.0683,unknown,endangered,decreasing,"['habitat loss', 'forest clearance for timber', 'firewood collection', 'conversion to agricultural land']","Restricted to a small area around Mount Kenya; arboreal species; range less than 2,000 km2; population thought to be decreasing; much of range within Mount Kenya National Park; needs further study for conservation."
Hybomys basilii,Father Basilio's striped mouse,"['subtropical moist montane forest', 'tropical moist montane forest']",specialist,['Equatorial Guinea'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,['habitat loss'],"Species is a rodent in the family Muridae, found only in Equatorial Guinea, inhabiting subtropical or tropical moist montane forest, threatened by habitat loss."
